date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2018-Sep-29,0,0,25,99,2183,3245,45034,38446,0,0,13641.2,2733.9,208.3,121.8,50,20,10112363.86,14594629.86,18741720,3.3e+07
2018-Oct-03,0,1,45,113,2330,3095,48714,36534,0,123189.6,4760.9,2370,193.1,126.3,50,20,3.3e+07,37612441.6,18938780,3.7e+07
2018-Oct-06,0,1,50,127,3052,3939,60495,42348,0,133126.5,4630.5,2278.8,159.3,107.3,50,20,37225318.11,42659817,21466260,4.1e+07
2018-Oct-10,0,0,39,95,2183,3199,44314,33915,0,0,8476.8,2761.8,201.9,119.7,50,20,41055995.67,45366821.61,18092230,4.5e+07
2018-Oct-13,0,1,58,115,2739,3767,56734,42341,0,136881.9,4104.4,2587.5,182.6,115.4,50,20,45400506.72,50690900.67,21410900,5e+07
2018-Oct-17,0,0,54,132,2898,3658,54809,38513,0,0,6058.4,1967,150.5,103.6,50,20,49191326.82,54104120.97,19341365,5.3e+07
2018-Oct-20,0,3,52,182,3055,4991,60520,48561,0,46653.7,4680.9,1671.8,167.3,89,50,20,53633574.47,59273817.57,22405535,5.8e+07
2018-Oct-24,1,1,87,174,3139,3344,53501,33948,56999176.69,106039.6,2119.8,1324.8,123.4,100.6,50,20,0,61597998.47,17698720,3e+06
2018-Oct-27,0,0,74,150,2964,4601,55745,50981,0,0,4403,1724,146.5,82.1,50,20,3775412.33,8978672.43,19952595,7e+06
2018-Oct-31,0,0,43,109,2500,3433,49183,36220,0,0,6148.8,1925.1,141.1,89.2,50,20,6839091.85,11155849.75,16400825,1e+07
2018-Nov-03,0,0,91,138,3558,4051,63635,43334,0,0,4087.8,2139.4,139.4,106.4,50,20,11149507.52,16792176.12,22118020,1.4e+07
2018-Nov-07,0,1,45,143,2315,3721,45186,39804,0,114302.3,4417.6,1737.6,180.3,97.5,50,20,14777361.87,19174504.97,17833430,1.8e+07
2018-Nov-10,0,0,55,146,2891,4259,59711,47915,0,0,6315,1888.1,160.2,94.5,50,20,18801929.98,24234381.28,21015460,2.2e+07
2018-Nov-14,0,2,31,103,2713,3349,49322,35201,0,47036.1,5277.5,1985.5,126.6,89.2,50,20,21787697.32,26062195.12,16133805,2.5e+07
2018-Nov-17,0,0,49,130,3181,3809,60322,43851,0,0,6898.2,2063.5,141.7,102.8,50,20,25704337.85,31046037.55,20574180,2.8e+07
2018-Nov-21,0,1,44,103,2208,3094,43927,31576,0,103717.9,4099.5,2189.1,171.5,106.4,50,20,28996254.24,33041571.04,16305210,3.2e+07
2018-Nov-24,0,3,66,183,3613,5466,63946,55087,0,42448,3355.6,1512.8,128.7,73.9,50,20,33038040.31,38831666.81,21857185,3.6e+07
2018-Nov-28,0,1,41,100,2107,2989,42952,33379,0,104023.4,4412.4,2261.3,180.4,110.5,50,20,36339654.02,40376283.12,16306530,3.9e+07
2018-Dec-01,0,3,49,136,2967,4436,56665,44959,0,40570.3,4319.8,1945.5,149.8,87.1,50,20,40202648.49,45363879.79,20053785,4.4e+07
2018-Dec-05,0,3,48,106,2787,2934,49669,32098,0,31511.5,3425.2,1938.8,123.9,102.3,50,20,43203093.39,47438417.79,16079130,4.7e+07
2018-Dec-08,1,1,124,175,4647,4509,68858,41924,46397148.9,100634.6,1411.4,1250.1,79.1,70.8,50,20,0,51859759.5,19237330,3e+06
2018-Dec-12,0,1,22,61,1545,2185,31735,23715,0,80950.2,6399.3,2884.9,191.3,117.6,50,20,2569288.47,5580566.67,12401385,5500000
2018-Dec-15,0,0,38,109,1873,3132,37376,34294,0,0,7927.4,2193.4,214.5,111.5,50,20,6059859.94,9905838.24,16302855,9e+06
2018-Dec-19,1,1,29,62,1982,2116,34483,23573,8745799.7,84625.5,5075,2967.3,155.9,126.9,50,20,0,11934697,13055510,3e+06
2018-Dec-22,1,2,30,76,2119,2742,42577,30891,3408446.6,53694.7,6225.5,3071.8,185.1,124.3,50,20,0,7415785.3,16479500,2e+06
2018-Dec-26,1,0,29,83,1676,2316,28809,22501,1660071.7,0,4940.2,1369.9,114,71.7,50,20,0,4164630.4,9254535,3e+06
2018-Dec-29,1,1,69,110,2761,3339,46248,35544,3247902.5,102331.2,2579.2,2022.3,135.3,97.3,50,20,0,7472379.5,16605470,3e+06
2019-Jan-02,0,0,32,126,2091,3100,37131,28050,0,0,5800.1,1169.1,118.4,69.3,50,20,2150619.39,5363483.59,11919120,5e+06
2019-Jan-05,0,1,57,123,2208,3197,44332,35564,0,97070.9,2961.8,1715.6,160.6,96.4,50,20,5231566.68,9299154.58,15885235,8e+06
2019-Jan-09,0,3,36,65,1970,2006,36170,22169,0,26742.1,3875.6,2683.2,148.7,126.9,50,20,7777876.03,10971412.33,12755500,1.1e+07
2019-Jan-12,0,0,54,149,2783,4031,51680,41061,0,0,4545.8,1307.5,117.6,70.6,50,20,10622224.31,15079604.41,16225750,1.4e+07
2019-Jan-16,0,0,33,95,2267,2944,39055,31180,0,0,6601.4,1820,128.1,85.7,50,20,13146514.49,16656314.19,13409515,1.6e+07
2019-Jan-19,0,1,43,125,2632,4107,48813,41860,0,101895,4121.2,1772.1,141.4,78.8,50,20,16380573.63,20854839.13,17129040,1.9e+07
