date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2018-Dec-12,0,0,29,81,1522,1970,29943,20731,0,0,4001.6,1683.6,158.3,122.4,25,15,5203127.96,6997146.56,5244965,6200000
2018-Dec-15,0,2,28,70,1715,2236,35700,25546,0,89390.6,4256.7,2112.6,172.5,132.3,25,15,6372930.71,8686131.81,6965730,7400000
2018-Dec-19,0,0,23,75,1626,2263,31857,24033,0,0,5293.2,1907.4,155.5,111.7,25,15,7241934.61,9169273.31,5593100,8200000
2018-Dec-22,0,0,36,114,2154,3040,42001,34506,0,0,4103.8,1522.8,142.5,101,25,15,8296486.88,10799422.88,7114672.5,9e+06
2018-Dec-26,0,1,17,44,1260,1390,22155,16499,0,97297.9,3815.6,1829.2,127.8,115.8,25,15,8933127.51,10299125.41,4005137.5,1e+07
2018-Dec-29,0,0,51,113,2254,2734,43247,28808,0,0,3023.4,1603.5,142.1,117.1,25,15,10033781.16,12522909.86,7180000,1.1e+07
2019-Jan-02,0,1,33,39,1154,1815,24956,19717,0,134791.7,2723.1,2858.8,193.2,122.9,25,15,10915751.51,12617570.01,5167500,1.2e+07
2019-Jan-05,0,0,45,66,1805,2312,35182,26051,0,0,3534.5,2831.8,183.1,142.9,25,15,12051069.81,14328216.41,6824850,1.3e+07
2019-Jan-09,0,1,41,87,1640,2373,32355,24341,0,126657.8,2059.5,1204.2,127.7,88.3,25,15,12879818.22,14788634.82,5475332.5,1.4e+07
2019-Jan-12,1,1,31,63,1723,2289,35298,26433,14035277.2,176589,3797.6,2318.5,169.6,127.7,25,15,0,16339128.4,6918112.5,1e+06
2019-Jan-16,0,0,26,71,1470,2221,30060,25021,0,0,4791.7,2062,176,116.5,25,15,889292.95,2804560.65,5609452.5,1900000
2019-Jan-19,0,1,24,82,1925,2748,40217,32208,0,167337.5,4648.3,1688,143.8,100.7,25,15,1984217.3,4443613.6,7108880,3e+06
