date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2017-Aug-02,0,0,23,84,1835,2662,36707,28600,0,0,7402.6,2381.8,192.8,132.9,25,15,3743705.68,6168279.48,7279425,5e+06
2017-Aug-05,1,0,32,70,1816,2561,38944,30616,5233340.2,0,6521.6,3503.2,238.8,169.3,25,15,0,7987333.5,8486942.5,1400000
2017-Aug-09,0,0,18,68,1396,2061,28332,23434,0,0,7387.6,2297.9,197.8,134,25,15,949200.89,2850547.69,5701510,2e+06
2017-Aug-12,0,1,33,86,2024,2815,40040,28801,0,191017.1,3858.9,1837.3,156.2,112.3,25,15,2199066.1,4740723,7582502.5,3500000
2017-Aug-16,0,0,26,44,1582,1871,32974,20958,0,0,5436.3,3774.7,185.6,156.9,25,15,3207974.1,5241303.8,6084640,4500000
2017-Aug-19,0,0,52,146,2503,3808,49452,38195,0,0,3259.1,1364,140.6,92.5,25,15,4417685.19,7299689.19,8183397.5,5500000
2017-Aug-23,0,1,32,69,2242,2399,39590,25412,0,155495.1,3239.5,1864.1,114.8,107.2,25,15,5435122.22,7708388.62,6581245,6500000
2017-Aug-26,0,1,47,86,2738,2676,53155,28206,0,200994.9,2851,1933.2,121.4,124.2,25,15,6750274.16,9668238.65,8466767.5,8e+06
2017-Aug-30,0,0,63,80,2230,2401,38895,26715,0,0,2230.4,2064,130.9,121.6,25,15,7753299.82,10015903.62,6531202.5,9e+06
2017-Sep-02,0,2,62,137,3207,4020,55981,40199,0,108363.9,2330.4,1308.5,111.8,89.2,25,15,9171394.98,12431508.68,9356322.5,1e+07
2017-Sep-06,0,0,26,69,1552,2077,33958,25701,0,0,6735.5,2982.4,234.5,175.2,25,15,10421422.51,12764630.51,7186015,1.2e+07
2017-Sep-09,0,0,44,121,1951,3392,41498,36531,0,0,4123.4,1761.9,193.1,111.1,25,15,11716462.27,14450086.07,8057772.5,1.3e+07
2017-Sep-13,0,0,29,61,1557,2180,31798,23359,0,0,5196.6,2903.1,201.1,143.6,25,15,12792188.69,14891474.89,6350015,1.4e+07
2017-Sep-16,0,1,47,104,2497,3368,47862,33502,0,190510.1,2702.3,1515.2,126.2,93.6,25,15,14038736.11,16843281.3,8102112.5,1.5e+07
2017-Sep-20,0,0,21,102,1900,3122,34300,26936,0,0,5671.1,1372.1,130.3,79.2,25,15,14888838.88,16904258.58,5731015,1.6e+07
2017-Sep-23,0,1,39,104,2282,3518,45573,39272,0,172866.9,2955,1374.9,125.3,81.3,25,15,16019943.02,18751397.52,7725127.5,1.7e+07
2017-Sep-27,0,3,33,87,2102,2217,33568,24730,0,48784.6,2956.7,1391.4,115.2,109.2,25,15,16977567.55,19036941.05,6033977.5,1.8e+07
2017-Sep-30,0,3,50,122,2610,3379,47559,34171,0,73929.3,2957.1,1503.7,140.6,108.6,25,15,18428771.82,21417331.52,8879322.5,2e+07
2017-Oct-04,0,0,46,77,2189,2408,41994,27784,0,0,3910.1,2744.9,170.6,155.2,25,15,19712644.48,22317641.38,7778022.5,2.1e+07
2017-Oct-07,0,0,63,157,2874,3518,49838,37174,0,0,3371.9,1589.9,153.6,125.4,25,15,21228964.54,24377172.14,9329082.5,2.3e+07
2017-Oct-11,0,4,92,182,3585,4314,53689,39963,0,39119.2,1133.9,711.2,72.2,60,25,15,22252824.5,25102405.5,7746962.5,23500000
2017-Oct-14,0,1,59,134,4029,4081,57454,41728,0,221616.4,2504.1,1368,91,89.9,25,15,23702907.82,27051369.02,9596552.5,2.5e+07
2017-Oct-18,0,0,32,80,1941,2602,42300,30909,0,0,5247.2,2466.4,179.7,134,25,15,24901450.48,27485273.58,7565072.5,26500000
2017-Oct-21,0,1,50,137,2400,3960,49204,42932,0,233018.1,3106.9,1406.9,160.6,97.3,25,15,26426136.59,29652072.99,9501692.5,2.8e+07
2017-Oct-25,1,1,45,106,2560,3383,51944,35998,27789306.5,208333.5,3086.4,1625.7,134.6,101.9,25,15,0,30836725.9,8821177.5,1400000
2017-Oct-28,0,2,50,221,2705,6194,52168,49281,0,118325.2,3155.3,885.7,144.8,63.2,25,15,1548453.99,4965168.89,9930052.5,3e+06
